rank_uncertainty_pressure,rank_growth_pressure,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,redshift,source_key,survey,field,lrd_status,uncertainty_growth_pressure_tier,uncertainty_pressure_score_0_100,prob_required_fedd_seed1e2_gt_1_baseline,prob_required_mseed_fedd0p3_gt_1e6_baseline,measurement_confidence_tier,rank_followup_priority,log_mbh_msun,physical_growth_pressure_tier,physical_pressure_score_0_100,measurement_confidence_score_0_100,followup_priority_category,catalogue_release,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,cosmic_time_gyr,object_class,quality_flag,detection_evidence,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,req_fedd_seed1e2_z30_eps0p1_b1,req_fedd_seed1e4_z30_eps0p1_b1,req_fedd_seed1e5_z30_eps0p1_b1,req_log_mseed_fedd0p3_z30_eps0p1_b1,req_log_mseed_fedd1_z30_eps0p1_b1,req_fedd_seed1e2_mbh_minus0p3,req_log_mseed_fedd0p3_mbh_minus0p3,req_fedd_seed1e2_mbh_plus0p3,req_log_mseed_fedd0p3_mbh_plus0p3,req_fedd_seed1e2_taylor_virial_minus0p5,req_log_mseed_fedd0p3_taylor_virial_minus0p5,req_fedd_seed1e2_taylor_virial_plus0p5,req_log_mseed_fedd0p3_taylor_virial_plus0p5,growth_pressure_robustness_0p3,taylor_virial_sensitivity_label,missing_diagnostics_penalized_flag,diagnostic_availability_note,ranking_note,req_fedd_seed1e2_matthee_virial_minus_0p5dex,req_log_mseed_fedd0p3_matthee_virial_minus_0p5dex,req_fedd_seed1e2_matthee_virial_plus_0p5dex,req_log_mseed_fedd0p3_matthee_virial_plus_0p5dex,req_fedd_seed1e2_aspire_virial_minus_0p5dex,req_log_mseed_fedd0p3_aspire_virial_minus_0p5dex,req_fedd_seed1e2_aspire_virial_plus_0p5dex,req_log_mseed_fedd0p3_aspire_virial_plus_0p5dex,req_fedd_seed1e2_thrils_virial_minus_0p5dex,req_log_mseed_fedd0p3_thrils_virial_minus_0p5dex,req_fedd_seed1e2_thrils_virial_plus_0p5dex,req_log_mseed_fedd0p3_thrils_virial_plus_0p5dex,source_virial_sensitivity_note,input_catalogue_release,detection_confidence_tier,detection_confidence_score_0_100,mass_measurement_reliability_tier,mass_measurement_reliability_score_0_100,evidence_status,evidence_status_basis,spectroscopic_type,selection_channels,phenotype_tags,lensing_status,growth_ranking_eligible_flag,primary_growth_ranking_flag,ranking_population,rank_primary_growth_pressure,req_fedd_seed1e2_p16_baseline,req_fedd_seed1e2_p50_baseline,req_fedd_seed1e2_p84_baseline,req_fedd_seed1e4_p16_baseline,req_fedd_seed1e4_p50_baseline,req_fedd_seed1e4_p84_baseline,prob_required_fedd_seed1e4_gt_1_baseline,req_fedd_seed1e5_p16_baseline,req_fedd_seed1e5_p50_baseline,req_fedd_seed1e5_p84_baseline,prob_required_fedd_seed1e5_gt_1_baseline,req_log_mseed_fedd0p3_p16_baseline,req_log_mseed_fedd0p3_p50_baseline,req_log_mseed_fedd0p3_p84_baseline,prob_required_mseed_fedd0p3_gt_1e5_baseline,req_log_mseed_fedd1_p16_baseline,req_log_mseed_fedd1_p50_baseline,req_log_mseed_fedd1_p84_baseline,prob_required_mseed_fedd1_gt_1e5_baseline,prob_required_mseed_fedd1_gt_1e6_baseline,req_fedd_seed1e2_p50_mbh_minus_0p3dex,prob_required_fedd_seed1e2_gt_1_mbh_minus_0p3dex,req_log_mseed_fedd0p3_p50_mbh_minus_0p3dex,prob_required_mseed_fedd0p3_gt_1e6_mbh_minus_0p3dex,req_fedd_seed1e2_p50_mbh_plus_0p3dex,prob_required_fedd_seed1e2_gt_1_mbh_plus_0p3dex,req_log_mseed_fedd0p3_p50_mbh_plus_0p3dex,prob_required_mseed_fedd0p3_gt_1e6_mbh_plus_0p3dex,req_fedd_seed1e2_p50_taylor_virial_minus_0p5dex,prob_required_fedd_seed1e2_gt_1_taylor_virial_minus_0p5dex,req_log_mseed_fedd0p3_p50_taylor_virial_minus_0p5dex,prob_required_mseed_fedd0p3_gt_1e6_taylor_virial_minus_0p5dex,req_fedd_seed1e2_p50_taylor_virial_plus_0p5dex,prob_required_fedd_seed1e2_gt_1_taylor_virial_plus_0p5dex,req_log_mseed_fedd0p3_p50_taylor_virial_plus_0p5dex,prob_required_mseed_fedd0p3_gt_1e6_taylor_virial_plus_0p5dex,req_fedd_seed1e2_p50_matthee_virial_minus_0p5dex,prob_required_fedd_seed1e2_gt_1_matthee_virial_minus_0p5dex,req_log_mseed_fedd0p3_p50_matthee_virial_minus_0p5dex,req_fedd_seed1e2_p50_matthee_virial_plus_0p5dex,prob_required_fedd_seed1e2_gt_1_matthee_virial_plus_0p5dex,req_log_mseed_fedd0p3_p50_matthee_virial_plus_0p5dex,req_fedd_seed1e2_p50_aspire_virial_minus_0p5dex,prob_required_fedd_seed1e2_gt_1_aspire_virial_minus_0p5dex,req_log_mseed_fedd0p3_p50_aspire_virial_minus_0p5dex,req_fedd_seed1e2_p50_aspire_virial_plus_0p5dex,prob_required_fedd_seed1e2_gt_1_aspire_virial_plus_0p5dex,req_log_mseed_fedd0p3_p50_aspire_virial_plus_0p5dex,req_fedd_seed1e2_p50_thrils_virial_minus_0p5dex,prob_required_fedd_seed1e2_gt_1_thrils_virial_minus_0p5dex,req_log_mseed_fedd0p3_p50_thrils_virial_minus_0p5dex,req_fedd_seed1e2_p50_thrils_virial_plus_0p5dex,prob_required_fedd_seed1e2_gt_1_thrils_virial_plus_0p5dex,req_log_mseed_fedd0p3_p50_thrils_virial_plus_0p5dex,rank_primary_uncertainty_pressure
1,1,measurement,GN38509_juodzbalis25,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,6.678,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,likely_high_pressure,97.3916217974411,0.8508,0.9694,high,1,8.57,high,98.44540599147037,90,A_robust_high_pressure,v6-blagn,1,GN38509_juodzbalis25,True,only catalogue measurement in this release,0.8105236210227595,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.7105380908536351,0.37,0.38,available,available,available,9.19,44.84,0.015,-0.6199999999999992,consistent,0.0064618041732414,1.064544199368414,0.7404820382212559,0.578450957647677,6.71850336776117,2.398344559203899,1.0159348751963402,6.418503367761169,1.1131535235404875,7.018503367761171,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; high detection confidence; high mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,high,90,high,90,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,unknown,True,True,primary_evidence_supported,1,1.002397256109145,1.064379385628723,1.123526739183806,0.678335094961987,0.740317224481565,0.7994645780366482,0.0,0.516304014388408,0.578286143907986,0.6374334974630691,0.0,6.334953847266257,6.717486194147889,7.082523280524808,1.0,2.0147950387089852,2.397327385590618,2.7623644719675373,0.0,0.0,1.015770061456649,0.6029,6.417486194147888,0.8646,1.1129887098007967,0.9663,7.01748619414789,0.9968,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,2,measurement,GS20057765_juodzbalis25,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,8.913,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,likely_high_pressure,96.38192705417399,0.975,0.5893,medium_tentative,5,7.33,high,93.77309018057997,35,B_tentative_high_pressure,v6-blagn,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,0.5527336017822919,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.45274807161316744,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.3553650821669596,0.8467853139992451,0.5924954299153876,6.150244064836379,3.397480216121263,1.2790781169418026,5.850244064836379,1.4316520473921168,6.450244064836379,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported detection confidence; medium_tentative mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,low_tentative_stack_supported,35,medium_tentative,60,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,primary_evidence_supported,2,1.1812941075943357,1.3568315318855784,1.515925902814601,0.6727143394266208,0.8482517637178637,1.0073461346468864,0.1737,0.41842445534276357,0.5939618796340063,0.7530562505630292,0.0048,5.465706513530481,6.156010907366911,6.781652668549034,0.9492,2.712942664815366,3.4032470586517944,4.028888819833918,0.0048,0.0,1.2805445666604214,0.9415,5.85601090736691,0.4076,1.4331184971107356,0.9916,6.45601090736691,0.7388,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,3,measurement,RUBIESEGS49140_taylor24,RUBIESEGS49140_taylor24,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,6.685,taylor24_ceers_rubies_blagn,RUBIES,EGS,lrd,likely_high_pressure,96.24725484947324,1.0,1.0,robust_with_interpretive_caveat,3,8.26,high,87.49084949824412,70,B_caveated_high_pressure,v6-blagn,1,RUBIESEGS49140_taylor24,True,only catalogue measurement in this release,0.8094182196919075,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,1.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit;alternative_non_agn_compact_galaxy_broadening,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic. Halpha line fit includes the source-specific narrow absorption component described in Section 3.2. The paper retains this source as BLAGN while noting a published compact-galaxy alternative for its broad lines.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.709432689522783,0.02,0.01,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,1.0158950168929186,0.6913279188440629,0.529044369819635,6.411383785950835,2.0979459531694493,0.9672099521855904,6.111383785950835,1.0645800816002473,6.711383785950836,0.9347532423807046,5.911383785950835,1.0970367914051327,6.911383785950835,robust_high_to_minus0p3,baseline_high_not_robust_to_taylor_minus0p5,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: high growth pressure; high detection confidence; robust_with_interpretive_caveat mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,high,90,robust_with_interpretive_caveat,70,candidate_accreting_mbh,robust_broad_line_with_recorded_alternative_non_agn_interpretation,type1_broad_line,broad_halpha,lrd,unknown,True,False,exploratory_candidate_or_disputed,,1.014299434997834,1.0159029168397022,1.0191297512946953,0.6897323369489783,0.6913358187908465,0.6945626532458394,0.0,0.5274487879245503,0.5290522697664186,0.5322791042214116,0.0,6.401551724077179,6.411432465849883,6.431316394161724,1.0,2.088113891295794,2.097994633068497,2.1178785613803384,0.0,0.0,0.967217852132374,0.0,6.111432465849883,1.0,1.0645879815470307,1.0,6.711432465849883,1.0,0.9347611423274884,0.0,5.911432465849883,0.0,1.0970446913519165,1.0,6.911432465849883,1.0,,,,,,,,,,,,,,,,,,,
4,5,measurement,GOODSN9771_matthee23,GOODSN9771_matthee23,HZA-GOODS-N-9771,GOODS-N-9771,5.538,matthee23_eiger_fresco_blagn,FRESCO,GOODS-N,lrd,likely_high_pressure,92.75724903191373,0.0,1.0,robust_with_measurement_caveat,4,8.55,high,75.85749677304578,75,B_caveated_high_pressure,v6-blagn,1,GOODSN9771_matthee23,True,only catalogue measurement in this release,1.0309936331361336,broad-line-agn,robust,individual_robust,Tables 1-3,The Astrophysical Journal 963:129 (2024); arXiv:2306.05448v3,https://doi.org/10.3847/1538-4357/ad2345,10.3847/1538-4357/ad2345,single-epoch-virial-halpha-reines2013,1.0,1.0,halpha_absorption_fit;blueshifted_absorption_340_km_s;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal source-table Halpha mass and luminosity are not dust corrected; formal MBH errors exclude the 0.5 dex estimator systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9310081029670091,0.03,0.03,unavailable_in_source:mstar,available,unavailable_in_source:edd_ratio,,45.81822589361395,,,not_evaluable,,0.8099785765046903,0.5626568737551666,0.43899602238040464,6.124009909645282,0.463366365484271,0.7728803210922617,5.824009909645281,0.8470768319171189,6.4240099096452825,,,,,baseline_high_not_robust_to_minus0p3,not_applicable_non_taylor_source,False,unavailable_in_source:mstar;available;unavailable_in_source:edd_ratio,Observational-triage rank: high growth pressure; high detection confidence; robust_with_measurement_caveat mass/line-model reliability. This is not evidence for a unique seed channel.,0.7481481508173095,5.624009909645282,0.8718090021920714,6.624009909645282,,,,,,,,,Matthee statistical errors and +/-0.5 dex calibration scenarios are separate,v6-blagn,high,90,robust_with_measurement_caveat,75,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,unknown,True,True,primary_evidence_supported,4,0.8062331033536441,0.809904351957051,0.8136396042044493,0.5589114006041203,0.5625826492075273,0.5663179014549256,0.0,0.4352505492293585,0.4389217978327654,0.4426570500801636,0.0,6.093721640484856,6.123409682921835,6.153615299379045,1.0,0.43307809632384475,0.4627661387608244,0.4929717552180349,0.0,0.0,0.7728060965446224,0.0,5.8234096829218345,0.0,0.8470026073694797,0.0,6.423409682921836,1.0,,,,,,,,,0.7480739262696701,0.0,5.623409682921835,0.871734777644432,0.0,6.623409682921835,,,,,,,,,,,,,3
5,4,measurement,CEERS00717_harikane23,CEERS00717_harikane23,HZA-CEERS-00717,CEERS-00717,6.936,harikane23_nirspec_blagn,CEERS,EGS,not_reported_by_source,likely_high_pressure,88.91013606738215,0.8219,0.919,high,2,7.99122608,high,81.93378689127388,90,A_robust_high_pressure,v6-blagn,1,CEERS00717_harikane23,True,only catalogue measurement in this release,0.7713794498651723,broad-line-agn,robust,individual_robust,Tables 1-3,The Astrophysical Journal 959:39 (2023); arXiv:2303.11946v3,https://doi.org/10.3847/1538-4357/ad029e,10.3847/1538-4357/ad029e,single-epoch-virial-halpha-greeneho2005,,,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,Extinction-corrected broad-Halpha Greene & Ho (2005) mass; source gives no numeric virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6713939196960478,0.16106227,0.17168214,available,available,available,9.61,44.85125835,0.06,-1.6187739199999998,consistent,0.018489525501202,1.0273631809780568,0.6844072760397951,0.5129293235706643,6.241730032955669,2.159572589852229,0.9759197952373174,5.941730032955669,1.078806566718796,6.541730032955669,,,,,baseline_high_not_robust_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; high detection confidence; high mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,"Harikane statistical errors are propagated; no numeric virial-calibration systematic is published, so no source-specific scenario is inferred",v6-blagn,high,90,high,90,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,,unknown,True,True,primary_evidence_supported,3,0.9978504369781455,1.0270173985957747,1.054541499824669,0.6548945320398838,0.6840614936575131,0.7115855948864073,0.0,0.48341657957075307,0.5125835411883823,0.5401076424172766,0.0,6.069621936404749,6.239713549919202,6.400224570913864,1.0,1.9874644933013088,2.1575561068157625,2.3180671278104246,0.0,0.0,0.9755740128550354,0.1917,5.939713549919203,0.3556,1.0784607843365137,0.9965,6.5397135499192025,0.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6,7,measurement,GS20030333_juodzbalis25,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,7.891,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,likely_high_pressure,85.98499879887471,0.9083,0.4868,medium_tentative,7,7.42,high,74.67999599624905,35,B_tentative_high_pressure,v6-blagn,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,0.6506319125565291,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.5506463823874046,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.1332146730828314,0.7150542771113069,0.5059740791255446,5.985143887894973,2.6371462929832443,1.0704906136871029,5.685143887894974,1.19593873247856,6.285143887894973,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported detection confidence; medium_tentative mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,low_tentative_stack_supported,35,medium_tentative,60,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,primary_evidence_supported,6,1.033196310833432,1.1318887483133855,1.2678352931242338,0.6150359148619077,0.7137283523418609,0.8496748971527093,0.017,0.40595571687614546,0.5046481543560987,0.6405946991669471,0.0001,5.50677069324069,5.978802183696203,6.6290146195008885,0.9803,2.1587730983289606,2.6308045887844744,3.28101702458916,0.0001,0.0,1.069164688917657,0.7591,5.678802183696204,0.3121,1.194612807709114,0.9743,6.278802183696204,0.7227,,,,,,,,,,,,,,,,,,,,,,,,,,,5
7,6,measurement,GS164055_juodzbalis25,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,7.397,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,likely_high_pressure,72.21617308766905,0.7069,0.5425,medium_tentative,6,7.63,high,75.7772436255635,35,B_tentative_high_pressure,v6-blagn,1,GS164055_juodzbalis25,True,only catalogue measurement in this release,0.7088155769811714,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6088300468120469,0.59,0.66,available,available,available,7.99,44.21,0.03,-0.3600000000000003,consistent,-0.0025082001627724,1.064628309775132,0.6864299759296144,0.49733080900685567,6.043530821515778,2.341769405052591,1.0078985596983043,5.743530821515778,1.1213580598519597,6.3435308215157775,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported detection confidence; medium_tentative mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,low_tentative_stack_supported,35,medium_tentative,60,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,primary_evidence_supported,5,0.943772176767093,1.06943532829336,1.1773285587248234,0.5655738429215755,0.6912369944478426,0.799130224879306,0.0022,0.3764746759988168,0.5021378275250838,0.6100310579565472,0.0,5.404415721355633,6.068951443914351,6.639515726069726,0.9486,1.7026543048924467,2.3671900274511644,2.93775430960654,0.0,0.0,1.0127055782165326,0.5416,5.768951443914352,0.342,1.126165078370188,0.841,6.3689514439143515,0.7073,,,,,,,,,,,,,,,,,,,,,,,,,,,6
8,9,measurement,GN4685_juodzbalis25,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,7.415,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,likely_high_pressure,60.682500177673305,0.5824,0.3121,medium_tentative,8,7.36,high,66.38166725891102,35,B_tentative_high_pressure,v6-blagn,1,GN4685_juodzbalis25,True,only catalogue measurement in this release,0.7065452811411209,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6065597509719964,0.45,0.42,available,available,available,9.91,44.13,0.045,-2.55,consistent,-0.016416941107096,1.0173652371980322,0.6377513427211544,0.44794439548271564,5.779446683249509,2.091488944165028,0.9604231530265004,5.479446683249509,1.0743073213695635,6.079446683249508,,,,,baseline_high_not_robust_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported detection confidence; medium_tentative mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,low_tentative_stack_supported,35,medium_tentative,60,probable_accreting_mbh,published_blagn_with_tentative_broad_line_detection,type1_broad_line,broad_balmer_line,,unknown,True,True,primary_evidence_supported,8,0.9369495495995686,1.0168458258001727,1.1027624262802675,0.557335655122691,0.637231931323295,0.72314853180339,0.0,0.3675287078842521,0.4474249840848563,0.5333415845649512,0.0,5.355775744074433,5.776710158557361,6.229362718066496,0.9683,1.6678180049899518,2.0887524194728795,2.541404978982015,0.0,0.0,0.9599037416286411,0.3208,5.47671015855736,0.1253,1.0737879099717045,0.82,6.0767101585573595,0.5718,,,,,,,,,,,,,,,,,,,,,,,,,,,7
9,8,measurement,GN954_juodzbalis25,GN954_juodzbalis25,HZA-GN-954,GN-954,6.759,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,possible_high_pressure,55.49466797654766,0.1199,0.3501,high,20,7.7,medium,68.7122265884922,90,D_systematics_leverage,v6-blagn,1,GN954_juodzbalis25,True,only catalogue measurement in this release,0.7978843566184635,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.697898826449339,0.31,0.32,available,available,available,10.93,45.17,0.23,-3.2299999999999995,consistent,-0.0079016188648425,0.9403035606779888,0.6103724867558875,0.4454069497948368,5.881438344477782,1.6381278149259382,0.8908138995896736,5.581438344477782,0.9897932217663039,6.181438344477781,,,,,high_only_if_plus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: medium growth pressure; high detection confidence; high mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,high,90,high,90,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_balmer_line,,unknown,True,True,primary_evidence_supported,7,0.8865849742927692,0.9402401176720123,0.9901250314693267,0.5566539003706679,0.610309043749911,0.6601939575472253,0.0,0.3916883634096173,0.44534350678886037,0.4952284205861747,0.0,5.555803139847721,5.881053761084516,6.183449732487272,0.9966,1.3124926102958778,1.637743231532672,1.9401392029354292,0.0,0.0,0.8907504565836972,0.0155,5.581053761084515,0.0851,0.9897297787603275,0.4192,6.181053761084515,0.7103,,,,,,,,,,,,,,,,,,,,,,,,,,,8
10,10,measurement,RUBIESEGS42046_taylor24,RUBIESEGS42046_taylor24,HZA-RUBIES-EGS-42046,RUBIES-EGS-42046,5.276,taylor24_ceers_rubies_blagn,RUBIES,EGS,lrd,possible_high_pressure,53.26268975319547,0.0,0.0,robust_with_measurement_caveat,9,8.3,medium,60.875632510651556,75,C_interpretation_or_measurement_check,v6-blagn,1,RUBIESEGS42046_taylor24,True,only catalogue measurement in this release,1.0960386684020111,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,1.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic. Halpha line fit includes the source-specific narrow absorption component described in Section 3.2.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9960531382328867,0.02,0.02,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7281883631027115,0.49701745418121585,0.381431999720468,5.704517710298243,-0.35160763233919035,0.693512726764487,5.404517710298243,0.762863999440936,6.004517710298244,0.6703956358723376,5.204517710298243,0.7859810903330854,6.204517710298243,high_only_if_plus0p3,high_only_if_taylor_plus0p5,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high detection confidence; robust_with_measurement_caveat mass/line-model reliability. This is not evidence for a unique seed channel.,,,,,,,,,,,,,not_applicable_or_recorded_in_source_specific_columns,v6-blagn,high,90,robust_with_measurement_caveat,75,secure_accreting_mbh,published_blagn_with_robust_detection_and_no_recorded_alternative_interpretation,type1_broad_line,broad_halpha,lrd,unknown,True,True,primary_evidence_supported,9,0.7258684791868658,0.7281883367145354,0.7304591214091098,0.49469757026537,0.49701742779303965,0.4992882124876142,0.0,0.3791121158046221,0.3814319733322918,0.3837027580268664,0.0,5.684446984905771,5.704517481998097,5.724163420193078,1.0,-0.3716783577316632,-0.35160786063933713,-0.33196192244435646,0.0,0.0,0.6935127003763109,0.0,5.404517481998097,0.0,0.7628639730527597,0.0,6.004517481998097,0.5832,0.6703956094841614,0.0,5.204517481998097,0.0,0.7859810639449092,0.0,6.204517481998097,1.0,,,,,,,,,,,,,,,,,,,9
