rank_growth_pressure,rank_followup_priority,catalogue_view,ranking_id,measurement_id,physical_object_id,object_id,redshift,source_key,survey,field,lrd_status,log_mbh_msun,physical_growth_pressure_tier,physical_pressure_score_0_100,measurement_confidence_tier,measurement_confidence_score_0_100,followup_priority_category,catalogue_release,n_measurements,available_measurement_ids,preferred_measurement_flag,preferred_measurement_reason,cosmic_time_gyr,object_class,quality_flag,detection_evidence,source_table,source_paper_version,source_url,source_doi,mbh_method,lrd_flag,halpha_absorption_fit_flag,source_caveat_tags,notes,scenario,scenario_label,scenario_kind,scenario_scope,mbh_delta_dex,reported_statistical_errors_applied,systematic_combined_with_statistical_error,z_seed,epsilon,merger_boost,delta_t_z30_gyr,log_mbh_err_plus_reported,log_mbh_err_minus_reported,mstar_diagnostic_status,lbol_diagnostic_status,edd_ratio_diagnostic_status,log_mstar_msun,log_lbol_erg_s,edd_ratio_reported,log_mbh_mstar_ratio,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,req_fedd_seed1e2_z30_eps0p1_b1,req_fedd_seed1e4_z30_eps0p1_b1,req_fedd_seed1e5_z30_eps0p1_b1,req_log_mseed_fedd0p3_z30_eps0p1_b1,req_log_mseed_fedd1_z30_eps0p1_b1,req_fedd_seed1e2_mbh_minus0p3,req_log_mseed_fedd0p3_mbh_minus0p3,req_fedd_seed1e2_mbh_plus0p3,req_log_mseed_fedd0p3_mbh_plus0p3,req_fedd_seed1e2_taylor_virial_minus0p5,req_log_mseed_fedd0p3_taylor_virial_minus0p5,req_fedd_seed1e2_taylor_virial_plus0p5,req_log_mseed_fedd0p3_taylor_virial_plus0p5,growth_pressure_robustness_0p3,taylor_virial_sensitivity_label,missing_diagnostics_penalized_flag,diagnostic_availability_note,ranking_note
1,1,physical_object,HZA-GN-38509,GN38509_juodzbalis25,HZA-GN-38509,GN-38509,6.678,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,8.57,high,98.44540599147037,high,90,A_robust_high_pressure,expanded-blagn-v1,1,GN38509_juodzbalis25,True,only catalogue measurement in this release,0.8105236210227595,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.7105380908536351,0.37,0.38,available,available,available,9.19,44.84,0.015,-0.6199999999999992,consistent,0.0064618041732414,1.064544199368414,0.7404820382212559,0.578450957647677,6.71850336776117,2.398344559203899,1.0159348751963402,6.418503367761169,1.1131535235404875,7.018503367761171,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; high measurement confidence. This is not evidence for a unique seed channel.
2,3,physical_object,HZA-GS-20057765,GS20057765_juodzbalis25,HZA-GS-20057765,GS-20057765,8.913,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,7.33,high,93.77309018057997,low_tentative_stack_supported,35,B_tentative_high_pressure,expanded-blagn-v1,1,GS20057765_juodzbalis25,True,only catalogue measurement in this release,0.5527336017822919,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.45274807161316744,0.62,0.7,available,available,available,7.4,44.16,0.051,-0.0700000000000002,consistent,-0.0220592787844985,1.3553650821669596,0.8467853139992451,0.5924954299153876,6.150244064836379,3.397480216121263,1.2790781169418026,5.850244064836379,1.4316520473921168,6.450244064836379,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported measurement confidence. This is not evidence for a unique seed channel.
3,2,physical_object,HZA-RUBIES-EGS-49140,RUBIESEGS49140_taylor24,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,6.685,taylor24_ceers_rubies_blagn,RUBIES,EGS,lrd,8.26,high,87.49084949824412,robust_with_interpretive_caveat,75,B_caveated_high_pressure,expanded-blagn-v1,1,RUBIESEGS49140_taylor24,True,only catalogue measurement in this release,0.8094182196919075,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,1.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit;alternative_non_agn_compact_galaxy_broadening,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic. Halpha line fit includes the source-specific narrow absorption component described in Section 3.2. The paper retains this source as BLAGN while noting a published compact-galaxy alternative for its broad lines.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.709432689522783,0.02,0.01,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,1.0158950168929186,0.6913279188440629,0.529044369819635,6.411383785950835,2.0979459531694493,0.9672099521855904,6.111383785950835,1.0645800816002473,6.711383785950836,0.9347532423807046,5.911383785950835,1.0970367914051327,6.911383785950835,robust_high_to_minus0p3,baseline_high_not_robust_to_taylor_minus0p5,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: high growth pressure; robust_with_interpretive_caveat measurement confidence. This is not evidence for a unique seed channel.
4,4,physical_object,HZA-GS-164055,GS164055_juodzbalis25,HZA-GS-164055,GS-164055,7.397,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,7.63,high,75.7772436255635,low_tentative_stack_supported,35,B_tentative_high_pressure,expanded-blagn-v1,1,GS164055_juodzbalis25,True,only catalogue measurement in this release,0.7088155769811714,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because the host is significantly extended.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6088300468120469,0.59,0.66,available,available,available,7.99,44.21,0.03,-0.3600000000000003,consistent,-0.0025082001627724,1.064628309775132,0.6864299759296144,0.49733080900685567,6.043530821515778,2.341769405052591,1.0078985596983043,5.743530821515778,1.1213580598519597,6.3435308215157775,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported measurement confidence. This is not evidence for a unique seed channel.
5,5,physical_object,HZA-GS-20030333,GS20030333_juodzbalis25,HZA-GS-20030333,GS-20030333,7.891,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,7.42,high,74.67999599624905,low_tentative_stack_supported,35,B_tentative_high_pressure,expanded-blagn-v1,1,GS20030333_juodzbalis25,True,only catalogue measurement in this release,0.6506319125565291,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; source-adopted CIGALE Mstar used because BEAGLE Mstar is unavailable.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.5506463823874046,0.65,0.48,available,available,available,8.61,44.44,0.08,-1.1899999999999995,consistent,-0.016539467890489,1.1332146730828314,0.7150542771113069,0.5059740791255446,5.985143887894973,2.6371462929832443,1.0704906136871029,5.685143887894974,1.19593873247856,6.285143887894973,,,,,robust_high_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported measurement confidence. This is not evidence for a unique seed channel.
6,9,physical_object,HZA-GN-954,GN954_juodzbalis25,HZA-GN-954,GN-954,6.759,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,7.7,medium,68.7122265884922,high,90,D_systematics_leverage,expanded-blagn-v1,1,GN954_juodzbalis25,True,only catalogue measurement in this release,0.7978843566184635,broad-line-agn,robust,individual_robust,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-halpha,,,,Robust sample; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.697898826449339,0.31,0.32,available,available,available,10.93,45.17,0.23,-3.2299999999999995,consistent,-0.0079016188648425,0.9403035606779888,0.6103724867558875,0.4454069497948368,5.881438344477782,1.6381278149259382,0.8908138995896736,5.581438344477782,0.9897932217663039,6.181438344477781,,,,,high_only_if_plus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.
7,6,physical_object,HZA-GN-4685,GN4685_juodzbalis25,HZA-GN-4685,GN-4685,7.415,juodzbalis25_jades_blagn,JADES,,not_reported_by_source,7.36,high,66.38166725891102,low_tentative_stack_supported,35,B_tentative_high_pressure,expanded-blagn-v1,1,GN4685_juodzbalis25,True,only catalogue measurement in this release,0.7065452811411209,broad-line-agn,tentative,stack_supported_tentative_hbeta,"Table 2 (BH/Lbol/lambda_Edd), Table 5 (Mstar)",,,,single-epoch-virial-hbeta,,,,Tentative broad-Hbeta sample; individual detection not formally significant; stack-supported; Mstar uses BEAGLE value.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6065597509719964,0.45,0.42,available,available,available,9.91,44.13,0.045,-2.55,consistent,-0.016416941107096,1.0173652371980322,0.6377513427211544,0.44794439548271564,5.779446683249509,2.091488944165028,0.9604231530265004,5.479446683249509,1.0743073213695635,6.079446683249508,,,,,baseline_high_not_robust_to_minus0p3,not_applicable_non_taylor_source,False,available;available;available,Observational-triage rank: high growth pressure; low_tentative_stack_supported measurement confidence. This is not evidence for a unique seed channel.
8,10,physical_object,HZA-RUBIES-EGS-42046,RUBIESEGS42046_taylor24,HZA-RUBIES-EGS-42046,RUBIES-EGS-42046,5.276,taylor24_ceers_rubies_blagn,RUBIES,EGS,lrd,8.3,medium,60.875632510651556,high,90,D_systematics_leverage,expanded-blagn-v1,1,RUBIESEGS42046_taylor24,True,only catalogue measurement in this release,1.0960386684020111,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,1.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust;halpha_absorption_component_fit,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic. Halpha line fit includes the source-specific narrow absorption component described in Section 3.2.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.9960531382328867,0.02,0.02,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7281883631027115,0.49701745418121585,0.381431999720468,5.704517710298243,-0.35160763233919035,0.693512726764487,5.404517710298243,0.762863999440936,6.004517710298244,0.6703956358723376,5.204517710298243,0.7859810903330854,6.204517710298243,high_only_if_plus0p3,high_only_if_taylor_plus0p5,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.
9,11,physical_object,HZA-RUBIES-UDS-807469,RUBIESUDS807469_taylor24,HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,6.778,taylor24_ceers_rubies_blagn,RUBIES,UDS,non_lrd,7.43,medium,59.3788636079503,high,90,E_comparison_anchor,expanded-blagn-v1,1,RUBIESUDS807469_taylor24,True,only catalogue measurement in this release,0.7949670440338809,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,0.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.6949815138647564,0.13,0.11,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.8995229948944198,0.5682069746754808,0.4025489645660111,5.6190401810226085,1.3934672700753605,0.849825591861579,5.319040181022609,0.9492203979272607,5.919040181022608,0.8166939898396851,5.1190401810226085,0.9823519999491548,6.1190401810226085,lower_across_0p3_scenarios,high_only_if_taylor_plus0p5,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.
10,12,physical_object,HZA-RUBIES-UDS-139709,RUBIESUDS139709_taylor24,HZA-RUBIES-UDS-139709,RUBIES-UDS-139709,5.685,taylor24_ceers_rubies_blagn,RUBIES,UDS,lrd,7.88,medium,55.06849887950944,high,90,E_comparison_anchor,expanded-blagn-v1,1,RUBIESUDS139709_taylor24,True,only catalogue measurement in this release,0.9972576687755248,broad-line-agn,robust,individual_robust,Table 1 (Sample of BLAGN),The Astrophysical Journal 986:165 (2025); arXiv:2409.06772v2,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,10.3847/1538-4357/add15b,single-epoch-virial-halpha-reines2013,1.0,0.0,formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,Nominal Table 1 mass and Halpha flux are uncorrected for dust; formal MBH errors exclude the approximately 0.5 dex virial-calibration systematic.,baseline,reported MBH,none,all_sources,0.0,False,False,30.0,0.1,1.0,0.8972721386064002,0.07,0.07,unavailable_not_published_in_taylor_table1:mstar,unavailable_not_published_in_taylor_table1:lbol,unavailable_not_published_in_taylor_table1:edd_ratio,,,,,not_evaluable,,0.7544645467223257,0.49784395259908565,0.36953365553746553,5.541917968626264,0.08639322875421396,0.7159714576038396,5.2419179686262645,0.7929576358408117,5.841917968626264,0.6903093981915155,5.041917968626264,0.8186196952531356,6.041917968626263,lower_across_0p3_scenarios,high_only_if_taylor_plus0p5,False,unavailable_not_published_in_taylor_table1:mstar;unavailable_not_published_in_taylor_table1:lbol;unavailable_not_published_in_taylor_table1:edd_ratio,Observational-triage rank: medium growth pressure; high measurement confidence. This is not evidence for a unique seed channel.
